direction_angle,force,duration,survived,mean_len
0.0,40.0,1,1,600
0.0,40.0,2,0,226
0.0,40.0,3,0,157
0.0,40.0,4,0,317
0.0,40.0,5,0,536
0.0,40.0,6,0,65
0.0,40.0,7,0,54
0.0,40.0,8,0,54
0.0,40.0,9,0,103
0.0,40.0,10,0,46
0.0,40.0,11,0,143
0.0,40.0,12,0,65
0.0,40.0,13,0,42
0.0,40.0,14,0,33
0.0,40.0,15,0,37
0.0,40.0,16,0,44
0.0,40.0,17,0,140
0.0,40.0,18,0,151
0.0,40.0,19,0,57
0.0,40.0,20,0,43
0.0,40.0,21,0,30
0.0,40.0,22,0,32
0.0,40.0,23,0,32
0.0,40.0,24,0,18
0.0,40.0,25,0,24
0.0,40.0,26,0,17
0.0,40.0,27,0,95
0.0,40.0,28,0,21
0.0,40.0,29,0,76
0.0,40.0,30,0,30
0.0,40.0,31,0,31
0.0,40.0,32,0,29
0.0,40.0,33,0,28
0.0,40.0,34,0,159
0.0,40.0,35,0,27
0.0,40.0,36,0,23
0.0,40.0,37,0,49
0.0,40.0,38,0,62
0.0,40.0,39,0,34
0.0,40.0,40,0,42
0.0,100.0,1,1,600
0.0,100.0,2,0,128
0.0,100.0,3,0,65
0.0,100.0,4,0,61
0.0,100.0,5,0,83
0.0,100.0,6,0,42
0.0,100.0,7,0,36
0.0,100.0,8,0,41
0.0,100.0,9,0,43
0.0,100.0,10,0,33
0.0,100.0,11,0,48
0.0,100.0,12,0,26
0.0,100.0,13,0,61
0.0,100.0,14,0,20
0.0,100.0,15,0,21
0.0,100.0,16,0,18
0.0,100.0,17,0,13
0.0,100.0,18,0,19
0.0,100.0,19,0,12
0.0,100.0,20,0,21
0.0,100.0,21,0,32
0.0,100.0,22,0,31
0.0,100.0,23,0,37
0.0,100.0,24,0,35
0.0,100.0,25,0,71
0.0,100.0,26,0,23
0.0,100.0,27,0,71
0.0,100.0,28,0,33
0.0,100.0,29,0,67
0.0,100.0,30,0,54
0.0,100.0,31,0,56
0.0,100.0,32,0,44
0.0,100.0,33,0,203
0.0,100.0,34,0,36
0.0,100.0,35,0,330
0.0,100.0,36,0,54
0.0,100.0,37,0,48
0.0,100.0,38,0,39
0.0,100.0,39,0,33
0.0,100.0,40,0,153
0.0,200.0,1,0,84
0.0,200.0,2,0,39
0.0,200.0,3,0,66
0.0,200.0,4,0,66
0.0,200.0,5,0,53
0.0,200.0,6,0,54
0.0,200.0,7,0,45
0.0,200.0,8,0,36
0.0,200.0,9,0,25
0.0,200.0,10,0,43
0.0,200.0,11,0,29
0.0,200.0,12,0,20
0.0,200.0,13,0,28
0.0,200.0,14,0,47
0.0,200.0,15,0,22
0.0,200.0,16,0,57
0.0,200.0,17,0,42
0.0,200.0,18,0,87
0.0,200.0,19,0,74
0.0,200.0,20,0,71
0.0,200.0,21,0,53
0.0,200.0,22,0,98
0.0,200.0,23,0,30
0.0,200.0,24,0,19
0.0,200.0,25,0,53
0.0,200.0,26,0,53
0.0,200.0,27,0,29
0.0,200.0,28,0,130
