angle,force,duration
121.85,40.0,15
341.42,200.0,4
258.73,100.0,2
207.32,100.0,1
54.07,200.0,2
52.59,200.0,2
21.92,100.0,13
311.49,200.0,2
203.50,40.0,27
245.89,40.0,17
4.21,200.0,4
352.88,100.0,10
299.44,40.0,13
65.39,40.0,26
62.06,40.0,19
64.25,100.0,11
97.81,100.0,1
177.68,200.0,1
149.15,40.0,9
92.34,40.0,11
211.97,100.0,4
43.97,100.0,7
101.24,40.0,23
126.71,100.0,2
157.44,100.0,4
276.74,40.0,10
69.62,40.0,18
177.45,40.0,10
200.19,200.0,6
19.29,200.0,4
203.37,200.0,4
56.96,100.0,5
19.30,200.0,6
337.21,40.0,11
342.77,40.0,7
287.96,40.0,12
99.40,100.0,4
35.25,40.0,20
232.65,100.0,1
145.15,200.0,5
40.39,200.0,7
169.91,40.0,17
10.19,200.0,2
328.26,40.0,8
89.86,40.0,17
230.16,100.0,2
100.33,200.0,5
171.24,40.0,13
188.70,100.0,5
56.21,40.0,19
351.75,100.0,6
273.29,40.0,8
342.39,40.0,5
323.99,100.0,2
209.98,40.0,20
329.51,200.0,3
32.67,40.0,24
63.02,200.0,4
15.80,100.0,6
109.28,100.0,4
133.74,40.0,11
94.84,40.0,23
295.68,200.0,5
118.18,40.0,15
92.21,100.0,4
186.38,40.0,15
43.39,200.0,6
279.10,200.0,4
23.55,200.0,6
351.87,200.0,7
268.96,200.0,3
62.34,200.0,2
357.42,40.0,5
283.18,200.0,8
249.88,200.0,3
253.28,40.0,16
269.84,40.0,17
26.80,200.0,2
116.18,200.0,1
43.50,40.0,12
309.86,100.0,4
209.89,200.0,7
109.18,100.0,1
25.79,100.0,6
107.45,100.0,8
107.67,100.0,3
255.13,100.0,3
216.67,40.0,18
322.91,40.0,3
156.32,40.0,11
44.43,40.0,20
249.50,40.0,16
268.08,40.0,9
190.13,200.0,5
268.31,40.0,13
162.77,200.0,2
174.20,40.0,11
139.86,100.0,4
11.80,100.0,8
34.50,100.0,7
6.58,200.0,2
223.69,200.0,4
107.84,200.0,2
176.28,40.0,10
330.95,100.0,4
78.74,200.0,3
135.96,100.0,5
266.58,200.0,4
76.96,200.0,5
22.54,100.0,14
99.16,100.0,4
50.24,100.0,4
331.24,100.0,7
286.37,40.0,10
218.93,200.0,1
311.80,40.0,2
279.91,100.0,2
64.77,200.0,1
317.66,100.0,3
178.30,200.0,5
288.89,200.0,5
325.56,200.0,4
109.62,40.0,14
40.10,40.0,19
76.55,100.0,7
143.51,100.0,1
284.87,200.0,5
305.08,100.0,4
0.73,200.0,2
169.60,200.0,2
142.23,40.0,6
72.96,100.0,8
35.81,40.0,22
109.20,100.0,8
340.83,40.0,10
102.76,200.0,2
178.51,100.0,7
243.95,100.0,1
120.81,100.0,3
349.92,100.0,2
348.25,200.0,8
81.48,100.0,9
169.78,40.0,9
100.66,40.0,21
91.67,200.0,3
16.79,100.0,9
211.97,100.0,7
170.58,200.0,8
21.51,100.0,7
95.67,200.0,1
328.08,200.0,1
82.37,100.0,5
49.97,40.0,20
166.80,40.0,15
355.19,100.0,5
82.53,100.0,2
228.59,200.0,7
270.81,40.0,16
81.72,200.0,5
249.29,40.0,8
125.26,200.0,4
214.29,40.0,23
216.35,200.0,2
183.44,100.0,7
26.61,200.0,5
299.18,100.0,1
109.32,200.0,7
61.07,100.0,15
9.06,200.0,7
199.87,40.0,24
235.17,200.0,6
10.81,100.0,4
174.32,40.0,17
72.60,40.0,19
224.34,40.0,9
57.40,100.0,16
241.80,200.0,4
125.07,100.0,1
339.61,40.0,8
45.41,200.0,4
117.63,200.0,3
36.42,40.0,21
333.33,200.0,4
317.32,100.0,11
81.03,200.0,2
