angle,force,duration
131.85,200.0,1
344.42,40.0,2
268.73,40.0,4
218.32,40.0,3
58.07,100.0,1
56.59,40.0,8
20.92,100.0,1
317.49,100.0,5
214.50,40.0,2
255.89,100.0,2
3.21,100.0,3
354.88,100.0,1
306.44,40.0,3
71.39,40.0,1
66.06,200.0,3
69.25,100.0,1
105.81,200.0,3
189.68,100.0,1
160.15,200.0,3
100.34,40.0,1
222.97,40.0,1
46.97,40.0,4
109.24,100.0,1
136.71,200.0,1
169.44,100.0,5
283.74,200.0,2
74.62,100.0,1
188.45,200.0,1
211.19,200.0,4
18.29,40.0,4
214.37,100.0,2
60.96,200.0,1
18.30,200.0,3
339.21,100.0,3
344.77,40.0,1
294.96,100.0,1
108.40,40.0,1
35.25,200.0,3
242.65,200.0,1
157.15,200.0,3
42.39,200.0,3
181.91,40.0,4
9.19,40.0,2
331.26,40.0,1
96.86,40.0,2
240.16,200.0,1
109.33,100.0,5
182.24,200.0,1
200.70,40.0,2
60.21,200.0,5
353.75,40.0,6
281.29,40.0,2
344.39,100.0,1
326.99,200.0,6
219.98,200.0,4
332.51,100.0,2
32.67,100.0,2
69.02,40.0,1
13.80,200.0,2
118.28,100.0,5
143.74,200.0,4
101.84,200.0,2
302.68,200.0,3
128.18,40.0,3
100.21,40.0,5
197.38,200.0,1
46.39,200.0,2
287.10,40.0,1
23.55,100.0,1
352.87,200.0,3
277.96,40.0,1
68.34,40.0,1
356.42,200.0,1
290.18,200.0,5
260.88,40.0,1
263.28,40.0,2
277.84,200.0,1
26.80,40.0,3
126.18,200.0,2
44.50,100.0,4
315.86,100.0,2
220.89,40.0,4
118.18,200.0,1
24.79,100.0,1
116.45,100.0,1
116.67,100.0,4
265.13,100.0,1
226.67,100.0,3
326.91,40.0,5
168.32,40.0,8
45.43,200.0,4
259.50,100.0,1
276.08,200.0,3
202.13,100.0,2
276.31,100.0,4
174.77,200.0,1
185.20,100.0,8
151.86,40.0,3
10.80,40.0,2
35.50,100.0,5
5.58,40.0,2
234.69,40.0,2
116.84,100.0,4
187.28,200.0,2
333.95,100.0,2
85.74,100.0,6
146.96,200.0,4
275.58,200.0,4
83.96,40.0,2
22.54,40.0,4
107.16,100.0,3
54.24,40.0,4
334.24,40.0,1
293.37,40.0,4
228.93,200.0,7
316.80,100.0,3
286.91,100.0,5
69.77,100.0,4
321.66,40.0,3
190.30,100.0,3
296.89,40.0,1
329.56,100.0,2
117.62,200.0,4
41.10,100.0,2
82.55,200.0,2
155.51,40.0,1
291.87,200.0,4
311.08,100.0,5
0.73,40.0,3
181.60,100.0,3
153.23,100.0,2
78.96,100.0,6
37.81,40.0,1
119.20,40.0,2
342.83,100.0,3
111.76,200.0,3
190.51,40.0,7
253.95,100.0,4
130.81,200.0,1
351.92,40.0,1
350.25,200.0,6
88.48,100.0,4
180.78,200.0,4
108.66,100.0,5
99.67,200.0,1
14.79,200.0,6
222.97,40.0,3
182.58,200.0,1
20.51,40.0,1
103.67,100.0,2
331.08,200.0,1
89.37,40.0,1
52.97,40.0,4
178.80,40.0,5
356.19,100.0,2
88.53,200.0,7
239.59,40.0,4
279.81,40.0,2
88.72,100.0,1
258.29,200.0,3
136.26,40.0,4
224.29,100.0,4
227.35,40.0,1
195.44,40.0,4
27.61,40.0,2
306.18,40.0,4
118.32,200.0,5
66.07,100.0,3
8.06,40.0,6
210.87,100.0,1
246.17,40.0,4
9.81,40.0,4
185.32,200.0,7
78.60,40.0,4
234.34,40.0,6
62.40,40.0,2
252.80,40.0,2
136.07,40.0,3
341.61,100.0,2
48.41,100.0,3
127.63,100.0,1
37.42,200.0,1
336.33,100.0,1
322.32,200.0,1
88.03,200.0,3
242.37,200.0,2
297.88,100.0,5
195.68,40.0,4
189.01,40.0,2
88.08,200.0,4
27.67,40.0,3
325.82,200.0,2
324.46,200.0,5
229.21,200.0,3
117.46,100.0,8
129.72,100.0,1
267.73,40.0,1
329.69,200.0,2
324.50,40.0,3
278.30,200.0,3
234.58,40.0,2
23.25,200.0,4
52.22,100.0,1
324.24,40.0,6
218.89,40.0,1
4.70,200.0,3
36.83,40.0,4
239.46,40.0,1
358.74,100.0,4
61.97,40.0,2
196.26,200.0,3
249.51,100.0,3
231.64,200.0,2
82.95,100.0,2
258.94,200.0,5
82.21,40.0,3
112.82,100.0,6
271.80,100.0,4
235.55,200.0,5
305.73,100.0,1
241.51,200.0,3
201.51,40.0,1
31.32,100.0,1
137.44,40.0,3
94.20,100.0,3
88.39,200.0,1
349.98,100.0,1
139.74,100.0,3
327.84,200.0,8
227.09,40.0,2
291.94,100.0,1
178.30,200.0,1
205.13,40.0,3
173.31,100.0,1
70.52,200.0,2
259.69,200.0,1
104.64,40.0,4
6.73,200.0,2
237.68,100.0,2
59.86,40.0,2
343.69,200.0,1
347.77,40.0,3
333.71,200.0,10
137.45,40.0,2
6.61,200.0,3
337.26,100.0,5
151.31,100.0,2
344.33,100.0,1
352.21,100.0,1
310.17,200.0,2
108.97,40.0,4
138.82,100.0,5
305.17,40.0,1
110.25,100.0,3
61.86,40.0,5
199.30,200.0,2
336.01,40.0,5
251.92,40.0,1
200.64,200.0,1
33.82,200.0,1
219.69,40.0,3
358.98,200.0,3
47.10,100.0,2
186.55,40.0,2
313.12,200.0,1
263.72,100.0,2
250.92,100.0,1
253.80,100.0,1
131.00,40.0,3
102.92,200.0,5
294.95,200.0,1
296.60,200.0,7
316.80,200.0,5
326.40,100.0,2
183.81,200.0,1
177.05,100.0,1
286.42,100.0,6
239.87,40.0,1
250.42,40.0,3
287.99,200.0,1
324.18,40.0,5
124.02,40.0,5
136.60,40.0,2
27.10,100.0,3
206.26,200.0,1
11.18,100.0,6
163.88,200.0,7
193.51,200.0,1
98.33,100.0,1
208.79,40.0,7
7.97,200.0,2
8.33,40.0,2
298.68,100.0,4
131.89,100.0,2
47.01,200.0,1
185.00,100.0,3
275.67,40.0,4
73.05,100.0,1
226.36,40.0,2
31.06,100.0,1
12.32,40.0,2
195.36,200.0,1
189.52,200.0,6
230.41,100.0,2
265.09,40.0,1
355.71,40.0,7
188.14,100.0,2
119.02,200.0,1
286.39,100.0,3
100.15,100.0,4
154.80,100.0,2
29.95,200.0,2
8.48,40.0,2
351.17,40.0,1
302.52,100.0,3
253.44,40.0,1
148.26,100.0,1
63.32,200.0,1
50.82,100.0,2
85.60,40.0,1
195.47,40.0,1
254.60,200.0,3
241.72,200.0,3
97.19,200.0,4
349.76,100.0,3
265.37,100.0,2
195.82,200.0,4
223.90,40.0,1
153.59,40.0,6
88.98,40.0,1
128.55,200.0,4
276.19,200.0,2
1.28,100.0,3
44.96,100.0,6
19.75,40.0,2
14.50,40.0,5
307.00,200.0,1
255.80,200.0,2
166.72,200.0,9
28.31,200.0,4
175.58,40.0,1
170.63,200.0,1
64.68,100.0,7
159.27,100.0,3
146.43,100.0,3
221.25,100.0,3
227.46,100.0,5
12.71,200.0,3
139.88,200.0,1
221.40,40.0,3
184.67,200.0,4
311.79,40.0,1
237.39,40.0,5
59.25,200.0,3
22.87,200.0,4
235.73,40.0,6
12.01,100.0,3
210.22,100.0,2
337.77,100.0,5
207.92,200.0,1
144.12,200.0,1
229.11,100.0,5
167.23,100.0,1
197.32,200.0,2
343.33,40.0,1
135.32,200.0,6
349.16,100.0,4
332.09,200.0,1
65.80,200.0,6
20.38,100.0,2
39.71,40.0,1
1.81,200.0,2
35.54,200.0,1
246.92,40.0,4
21.47,40.0,2
118.71,40.0,5
305.45,200.0,2
7.15,100.0,2
293.59,100.0,4
101.93,100.0,5
37.64,100.0,1
250.91,40.0,5
231.69,100.0,1
315.58,200.0,1
267.57,100.0,1
289.25,100.0,3
103.73,200.0,1
59.31,40.0,3
276.70,40.0,2
291.54,200.0,2
354.36,40.0,1
144.73,200.0,1
130.70,200.0,2
281.20,100.0,4
121.37,40.0,6
340.29,100.0,2
310.31,200.0,2
152.49,200.0,2
273.17,40.0,3
275.07,100.0,3
31.67,200.0,3
323.68,200.0,1
177.37,100.0,6
302.36,40.0,1
116.64,200.0,1
324.75,40.0,4
144.44,40.0,2
6.06,100.0,1
328.85,200.0,1
34.68,100.0,3
112.06,100.0,1
339.12,200.0,4
341.70,40.0,2
201.57,200.0,4
228.31,100.0,1
166.37,200.0,3
100.39,200.0,2
114.22,200.0,3
242.52,100.0,1
276.34,200.0,1
285.16,40.0,3
286.07,100.0,2
26.42,100.0,2
174.48,200.0,6
23.87,40.0,3
202.65,40.0,3
155.05,100.0,1
326.52,100.0,2
128.39,40.0,1
