angle,force,duration
130.85,40.0,1
342.42,200.0,3
265.73,200.0,3
216.32,40.0,2
58.07,200.0,3
56.59,200.0,3
21.92,40.0,4
314.49,200.0,6
211.50,200.0,7
253.89,40.0,2
4.21,40.0,1
353.88,200.0,1
303.44,100.0,5
70.39,40.0,3
66.06,200.0,2
69.25,100.0,1
104.81,40.0,8
187.68,40.0,1
158.15,100.0,1
98.34,100.0,4
219.97,200.0,4
46.97,200.0,6
107.24,200.0,4
135.71,40.0,1
166.44,100.0,3
281.74,100.0,1
73.62,200.0,3
186.45,40.0,3
209.19,200.0,2
19.29,40.0,1
212.37,100.0,1
60.96,200.0,4
19.30,200.0,2
338.21,40.0,3
343.77,40.0,3
291.96,200.0,3
106.40,100.0,2
36.25,200.0,1
240.65,100.0,1
155.15,40.0,2
43.39,100.0,5
178.91,40.0,4
9.19,200.0,2
328.26,200.0,2
94.86,200.0,1
238.16,100.0,2
108.33,40.0,1
180.24,40.0,10
198.70,40.0,1
60.21,200.0,3
352.75,100.0,4
278.29,100.0,8
342.39,200.0,2
324.99,100.0,2
217.98,200.0,2
330.51,100.0,1
33.67,100.0,1
68.02,100.0,5
14.80,100.0,6
117.28,40.0,1
142.74,40.0,3
100.84,40.0,5
300.68,40.0,5
126.18,100.0,3
98.21,200.0,2
195.38,100.0,5
47.39,100.0,2
284.10,100.0,4
24.55,40.0,4
352.87,100.0,4
274.96,100.0,4
67.34,100.0,3
356.42,200.0,4
288.18,100.0,1
257.88,200.0,1
260.28,200.0,2
275.84,40.0,4
27.80,40.0,1
125.18,40.0,3
45.50,100.0,1
312.86,200.0,3
218.89,40.0,2
117.18,40.0,1
25.79,40.0,4
114.45,200.0,2
114.67,200.0,7
263.13,40.0,1
224.67,40.0,7
323.91,200.0,1
165.32,40.0,2
46.43,200.0,1
257.50,40.0,1
274.08,100.0,1
200.13,100.0,1
274.31,40.0,2
171.77,200.0,2
183.20,40.0,6
148.86,200.0,3
10.80,200.0,1
36.50,100.0,2
5.58,200.0,2
231.69,200.0,4
115.84,40.0,1
185.28,40.0,2
331.95,40.0,2
84.74,40.0,4
144.96,200.0,4
